Endpoint Name	Endpoint Type	Endpoint Status	Operating System	Agent Version	IP Address	IPv6 Address	User	Endpoint Alias	Last Seen	Content Version	Assigned Prevention Policy	Assigned Extensions Policy	Tags	Active Directory	Last Upgrade Status	Last Upgrade Status Time	Last Upgrade Failure Reason	Last Upgrade Source	Linux Operation Mode	IT Metrics Collection	Last Certificate Enforcement Fallback	Cluster Name	Cloud Provider	Cloud Region	Cloud Provider Account ID	Cloud Instance ID
0312-4-SBP48	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.239.85				Dec 8th 2025 15:48:49	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DAG-B9', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
0312-B01	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.239.20		N/A\hp		Dec 8th 2025 18:45:32	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DAG-B9', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
0312-B02	Workstation	Disconnected	Windows 11	8.9.0.14028	10.142.20.225				Dec 4th 2025 16:50:54	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DAG-B9', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
0312-F01	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.239.22				Dec 8th 2025 15:16:57	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DAG-B9', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
0312-F02	Workstation	Connected	Windows 10	8.9.0.14028	10.104.239.23		N/A\0312 - FIN		Dec 9th 2025 09:39:54	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DAG-B9', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
0312-F03	Workstation	Connected	Windows 10	8.9.0.14028	10.104.239.18				Dec 9th 2025 09:38:00	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DAG-B9', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
0312-FINANCEx0NTS1	Workstation	Connected	Windows 10	8.9.0.14028	10.104.239.15		N/A\hp		Dec 9th 2025 09:42:07	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DAG-B9', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
0312-FINxP	Workstation	Disconnected	Windows 11	8.9.0.14028	10.104.239.24				Dec 8th 2025 15:49:31	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DAG-B9', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
03124-04	Workstation	Connected	Windows 10	8.9.0.14028	10.104.239.148		N/A\HP		Dec 9th 2025 09:39:20	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DAG-B9', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
031241-04	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.239.187				Dec 8th 2025 15:50:21	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DAG-B9', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
031241-B02	Workstation	Connected	Windows 10	8.9.0.14028	10.104.239.189		N/A\KKW		Dec 9th 2025 09:39:20	2060-26856	Windows - RCC - Block Mode policy For Phase 2	Windows Default	{'server_tags': ['DAG-B9', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
