Hostname,Host ID,Last Seen,First Seen,Platform,OS Version,Type,Local IP,External IP,MAC Address,Sensor Version,Host Groups,Sensor Tags,Last Logged In User Account,Prevention Policy,Sensor Update Policy,Content Update Policy,Host Retention Policy
0312-01,15f5356565f94a16997de5b50c53343f,2025-12-08T11:27:19Z,2025-01-23T03:26:05Z,Windows,Windows 10,Workstation,10.104.239.246,1.179.227.151,c4-65-16-23-14-fd,7.29.20108.0,Client,"SensorGroupingTags/RCC-J-B7-fl12378,SensorGroupingTags/Insite,SensorGroupingTags/Client",RTARF,"Recommended policy
08 Apr 25 01:16 UTC","platform_default
14 Nov 25 04:33 UTC","platform_default
17 Apr 25 01:25 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
23 Jan 25 03:51 UTC"
0312-07,b57255ef2ba343ebaf63680fd55cdf49,2025-11-12T17:15:34Z,2025-01-23T03:31:28Z,Windows,Windows 11,Workstation,10.104.239.5,1.179.227.150,d0-8e-79-00-86-41,7.28.20008.0,Client,"SensorGroupingTags/RCC-J-B7-fl12378,SensorGroupingTags/Insite,SensorGroupingTags/Client",Admin,"Recommended policy
03 Apr 25 00:22 UTC","platform_default
29 Oct 25 08:22 UTC","platform_default
17 Apr 25 00:49 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
23 Jan 25 03:56 UTC"
031242-S02,4454b5bdbe354d5cbd49ab36ecc7b232,2025-12-08T08:57:44Z,2025-01-23T02:56:14Z,Windows,Windows 11,Workstation,10.104.239.197,1.179.227.142,c4-65-16-23-14-24,7.29.20108.0,Client,"SensorGroupingTags/RCC-J-B7-fl12378,SensorGroupingTags/Insite,SensorGroupingTags/Client",RTARF-EST,"Recommended policy
02 Apr 25 23:59 UTC","platform_default
14 Nov 25 03:17 UTC","platform_default
17 Apr 25 00:23 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
23 Jan 25 03:17 UTC"
031242-S03,5efa0be9e71e43e1b78a72f594bf20bb,2025-12-08T08:47:15Z,2025-01-23T02:57:02Z,Windows,Windows 10,Workstation,10.104.239.198,1.179.227.143,b4-b5-2f-cb-bc-dd,7.29.20108.0,Client,"SensorGroupingTags/RCC-J-B7-fl12378,SensorGroupingTags/Insite,SensorGroupingTags/Client",0312.4.2-KSP001,"Recommended policy
02 Apr 25 23:34 UTC","platform_default
18 Nov 25 06:13 UTC","platform_default
17 Apr 25 01:07 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
23 Jan 25 03:28 UTC"
031242-S04,3e0bd799f1c14eff9e7e2bb18d9dda64,2025-10-31T04:30:24Z,2025-01-23T02:54:01Z,Windows,Windows 11,Workstation,10.104.239.194,1.179.227.139,74-56-3c-81-e0-e6,7.28.20008.0,Client,"SensorGroupingTags/RCC-J-B7-fl12378,SensorGroupingTags/Insite,SensorGroupingTags/Client",PC,"Recommended policy
02 Apr 25 23:53 UTC","platform_default
22 Oct 25 13:53 UTC","platform_default
17 Apr 25 00:19 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
23 Jan 25 03:18 UTC"
031242-S05,9090d7656ceb4f7fb57e9179b4f3785c,2025-12-07T10:23:59Z,2025-01-23T02:56:21Z,Windows,Windows 11,Workstation,10.104.239.207,1.179.227.152,d0-8e-79-00-82-6a,7.29.20108.0,Client,"SensorGroupingTags/RCC-J-B7-fl12378,SensorGroupingTags/Insite,SensorGroupingTags/Client",RTARF-SIT,"Recommended policy
03 Apr 25 06:16 UTC","platform_default
14 Nov 25 07:18 UTC","platform_default
17 Apr 25 02:06 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
23 Jan 25 03:25 UTC"
ACER,6fb8c5fde5b5468ba7236ddedbd17ca0,2025-12-09T01:28:16Z,2025-02-05T03:21:53Z,Windows,Windows 11,Workstation,10.142.25.249,110.164.235.154,2c-33-58-b9-a3-5c,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/oscsecy-J-B0-fl1,SensorGroupingTags/Insite,SensorGroupingTags/Client",UMFD-19,"Recommended policy
21 Apr 25 23:41 UTC","uninstall
09 Oct 25 01:55 UTC","platform_default
17 Apr 25 00:20 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
05 Feb 25 03:23 UTC"
ADMIN-PC,6d351bf7da984963ae456f2af1904694,2025-12-08T09:05:16Z,2025-02-07T06:12:37Z,Windows,Windows 11,Workstation,10.134.49.226,110.164.235.155,e4-fa-c4-87-c1-34,7.27.19909.0,"Client,uninstall-group","SensorGroupingTags/thaindc-O10,SensorGroupingTags/Outsite,SensorGroupingTags/Client",User,"Recommended policy
07 Nov 25 06:27 UTC","uninstall
09 Oct 25 04:01 UTC","platform_default
17 Apr 25 07:21 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
07 Feb 25 06:14 UTC"
ADMINISTRATOR,8e845d6585b04457948d258031cd5e8e,2025-12-04T02:53:24Z,2025-02-14T03:42:08Z,Windows,Windows 11,Workstation,10.134.77.161,1.179.227.154,48-9e-bd-a0-10-9c,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/oce-J-B11-fl123,SensorGroupingTags/Insite,SensorGroupingTags/Client",Supicha,"Recommended policy
03 Apr 25 01:56 UTC","uninstall
09 Oct 25 02:11 UTC","platform_default
21 Apr 25 01:22 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
14 Feb 25 03:44 UTC"
ADMINISTRATOR,df8112f33f3f4a1f95b70f26b8181fb9,2025-12-02T06:31:06Z,2025-02-14T03:44:49Z,Windows,Windows 11,Workstation,10.134.77.184,1.179.227.137,48-9e-bd-a0-0f-f2,7.27.19907.0,"Client,uninstall-group","SensorGroupingTags/oce-J-B11-fl123,SensorGroupingTags/Insite,SensorGroupingTags/Client",nisa,"Recommended policy
03 Apr 25 04:22 UTC","uninstall
09 Oct 25 05:30 UTC","platform_default
21 Apr 25 04:17 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
14 Feb 25 03:46 UTC"
